"1,Grade 1,Q1,Nailalarawan ang sarili batay sa personal na impormasyon (pangalan, edad, tirahan),AP1PAM-Ia-1,Pamilya at Pagkatao,personal identity; name; age; residence"
"2,Grade 1,Q1,Natutukoy ang mga kasapi ng pamilya at ugnayan ng bawat isa,AP1PAM-Ia-2,Pamilya at Pagkatao,family members; relationships"
"3,Grade 1,Q1,Naiuugnay ang tungkulin ng bawat kasapi ng pamilya sa pang-araw-araw na buhay,AP1PAM-Ib-3,Pamilya at Tungkulin,responsibilities; family roles"
"4,Grade 1,Q1,Nasasalamin ang pagpapahalaga at paggalang sa bawat kasapi ng pamilya,AP1PAM-Ib-4,Pamilya at Pagpapahalaga,respect; family; values"
"5,Grade 1,Q1,Natatalakay ang mahahalagang kaganapan sa pamilya gamit ang timeline o family tree,AP1PAM-Ic-5,Kasaysayan ng Pamilya,timeline; family tree; events"
"6,Grade 1,Q1,Nailalarawan ang sariling pamilya at ang kahalagahan nito,AP1PAM-Ic-6,Pamilya at Pagkilala,family description; importance"
"7,Grade 1,Q1,Naipapakita ang wastong pagkilos sa pagtugon sa alituntunin ng pamilya,AP1PAM-Id-7,Disiplina at Asal,behavior; rules"
"8,Grade 1,Q1,Nakabubuo ng konklusyon tungkol sa mabuting ugnayan ng pamilya sa ibang pamilya sa komunidad,AP1PAM-Ie-8,Pamayanan at Pamilya,community; relationships"

"9,Grade 1,Q2,Natukoy ang mga paraan ng pagtulong sa pamilya, paaralan, at komunidad,AP1KNK-IIa-1,Pagtutulungan,helping; community support"
"10,Grade 1,Q2,Naiuugnay ang kahalagahan ng pagsunod sa nakatatanda sa loob at labas ng tahanan,AP1KNK-IIb-2,Paggalang,respect; elders"
"11,Grade 1,Q2,Naipaliliwanag ang mga tungkuling ginagampanan sa tahanan at paaralan,AP1KNK-IIc-3,Tungkulin,duties; home; school"
"12,Grade 1,Q2,Naiisa-isa ang mga alituntunin sa tahanan at paaralan,AP1KNK-IId-4,Disiplina,rules; behavior"
"13,Grade 1,Q2,Napahahalagahan ang pagsunod sa tuntunin sa paaralan,AP1KNK-IIe-5,Paggalang,responsibility; school rules"
"14,Grade 1,Q2,Nailalarawan ang mga paraan ng pagtulong sa kapwa,AP1KNK-IIf-6,Pagtutulungan,helping others"
"15,Grade 1,Q2,Natutukoy ang impluwensya ng pamilya, paaralan, at komunidad sa pagkakakilanlan ng bata,AP1KNK-IIg-7,Pagkakakilanlan,identity; social environment"
"16,Grade 1,Q2,Naiuugnay ang wastong asal sa mga sitwasyon sa tahanan at paaralan,AP1KNK-IIh-8,Asal,moral behavior"

"17,Grade 1,Q3,Naiuugnay ang mga batayang impormasyon tungkol sa paaralan (pangalan, lugar, bahagi),AP1PAA-IIIa-1,Paaralan at Komunidad,school identity; location"
"18,Grade 1,Q3,Naiuugnay ang epekto ng kapaligiran sa pag-aaral,AP1PAA-IIIb-2,Kapaligiran,environment; learning"
"19,Grade 1,Q3,Nailalarawan ang tungkulin ng mga taong bumubuo sa paaralan (guro, punong-guro, nars, etc.),AP1PAA-IIIb-4,Paaralan at Tungkulin,school roles"
"20,Grade 1,Q3,Naipaliliwanag ang kahalagahan ng paaralan sa komunidad,AP1PAA-IIIc-5,Pamayanan,school value"
"21,Grade 1,Q3,Napahahalagahan ang pagsunod sa alituntunin ng paaralan,AP1PAA-IIId-6,Disiplina,school rules; behavior"
"22,Grade 1,Q3,Nakikilahok sa mga gawaing pampaaralan na nagpapakita ng paggalang at pagmamalaki,AP1PAA-IIIe-7,Pagtutulungan,school participation"
"23,Grade 1,Q3,Nakabibigkas o nagpapakita ng tamang kilos sa mga pambansang simbolo (bandila, pambansang awit),AP1PAA-IIIf-8,Nasyonalismo,Philippine symbols"
"24,Grade 1,Q3,Nakikilala ang mahahalagang gusali at estruktura sa komunidad,AP1PAA-IIIg-9,Heograpiya,community structures"

"25,Grade 1,Q4,Naipaliliwanag ang konsepto ng distansya at direksyon sa pagtukoy ng lokasyon,AP1KAP-IVa-1,Heograpiya,distance; direction"
"26,Grade 1,Q4,Nakagagawa ng payak na mapa ng loob at labas ng tahanan,AP1KAP-IVb-4,Heograpiya,map making; home"
"27,Grade 1,Q4,Natutukoy ang mga bagay at istruktura sa nadadaanan patungong paaralan,AP1KAP-IVc-5,Heograpiya,landmarks; route"
"28,Grade 1,Q4,Naiuugnay ang lokasyon at distansya sa pang-araw-araw na transportasyon,AP1KAP-IVc-6,Heograpiya,transport; mobility"
"29,Grade 1,Q4,Naipaliliwanag ang kahalagahan ng istruktura mula tahanan patungong paaralan,AP1KAP-IVd-7,Kapaligiran,infrastructure; school route"
"30,Grade 1,Q4,Nakagagawa ng simpleng mapa mula tahanan patungo sa paaralan,AP1KAP-IVe-8,Heograpiya,map skills"
"31,Grade 1,Q4,Nakikilala ang gawi na nakabubuti o nakasasama sa kapaligiran,AP1KAP-IVf-9,Kapaligiran,environmental care"
"32,Grade 1,Q4,Naisasagawa ang wastong pangangalaga sa kapaligiran (tahanan, paaralan, komunidad),AP1KAP-IVj-14,Kapaligiran,cleanliness; community care"

"33,Grade 2,Q1,Naiuugnay ang kahalagahan ng pagiging bahagi ng pamilya sa paghubog ng pagkatao,AP2PAM-Ia-1,Pamilya at Pagkatao,family; identity"
"34,Grade 2,Q1,Naiisa-isa ang tungkulin ng bawat kasapi ng pamilya,AP2PAM-Ia-2,Pamilya at Tungkulin,responsibilities; roles"
"35,Grade 2,Q1,Naipaliliwanag ang kahalagahan ng pagsunod sa tuntunin sa tahanan,AP2PAM-Ib-3,Disiplina,rules; home"
"36,Grade 2,Q1,Nailalarawan ang mga paraan ng pagtutulungan sa pamilya,AP2PAM-Ic-4,Pagtutulungan,cooperation; family"
"37,Grade 2,Q1,Natutukoy ang mga salik na nakakaapekto sa pagkakakilanlan ng pamilya,AP2PAM-Id-5,Pamilya at Pagkakakilanlan,identity factors"
"38,Grade 2,Q1,Nailalarawan ang mga pagbabago sa pamilya gamit ang timeline o larawan,AP2PAM-Ie-6,Kasaysayan ng Pamilya,family timeline"
"39,Grade 2,Q1,Naipahahayag ang pagpapahalaga sa bawat kasapi ng pamilya,AP2PAM-If-7,Pagpapahalaga,respect; values"
"40,Grade 2,Q1,Naipaliliwanag ang pagkakaiba at pagkakatulad ng iba’t ibang uri ng pamilya,AP2PAM-Ig-8,Pamilya at Pagkilala,family types"

"41,Grade 2,Q2,Naiuugnay ang tungkulin ng mga tao sa komunidad,AP2PAM-IIa-1,Pamayanan,community roles"
"42,Grade 2,Q2,Natatukoy ang iba’t ibang uri ng komunidad (rural at urban),AP2PAM-IIb-2,Pamayanan,rural; urban"
"43,Grade 2,Q2,Nailalarawan ang mga gawaing nakatutulong sa komunidad,AP2PAM-IIc-3,Pagtutulungan,community activities"
"44,Grade 2,Q2,Naiuugnay ang epekto ng kapaligiran sa pamumuhay sa komunidad,AP2PAM-IId-4,Kapaligiran,environment; community"
"45,Grade 2,Q2,Natutukoy ang mahahalagang lugar sa komunidad,AP2PAM-IIe-5,Heograpiya,community landmarks"
"46,Grade 2,Q2,Naipaliliwanag kung paano nakatutulong ang mga opisyal sa kaayusan ng pamayanan,AP2PAM-IIf-6,Pamahalaan,local officials"
"47,Grade 2,Q2,Nailalarawan ang pagpapahalaga sa kalinisan at kaayusan ng komunidad,AP2PAM-IIg-7,Kapaligiran,cleanliness"
"48,Grade 2,Q2,Nakikilahok sa gawaing pampamayanan bilang mabuting kasapi,AP2PAM-IIh-8,Pagtutulungan,participation"

"49,Grade 2,Q3,Natutukoy ang direksyon gamit ang pangunahing direksyon (N,S,E,W),AP2KAP-IIIa-1,Heograpiya,directions"
"50,Grade 2,Q3,Nailalarawan ang lokasyon ng isang lugar gamit ang direksyon,AP2KAP-IIIb-2,Heograpiya,location"
"51,Grade 2,Q3,Nakatutukoy ng distansya ng mga lugar gamit ang palatandaan,AP2KAP-IIIc-3,Heograpiya,landmarks; distance"
"52,Grade 2,Q3,Nagagamit ang simpleng mapa sa pagtukoy ng lokasyon,AP2KAP-IIId-4,Heograpiya,map skills"
"53,Grade 2,Q3,Naiuugnay ang lokasyon sa pang-araw-araw na gawain ng tao,AP2KAP-IIIe-5,Heograpiya,location; activities"
"54,Grade 2,Q3,Natataya ang kaligtasan ng lugar batay sa kapaligiran,AP2KAP-IIIg-7,Kapaligiran,safety; environment"

"55,Grade 2,Q4,Nauuri ang mga pangunahing kabuhayan sa komunidad,AP2EKP-IVa-1,Ekonomiya,livelihood"
"56,Grade 2,Q4,Naiuugnay ang likas na yaman sa kabuhayan ng mga tao,AP2EKP-IVb-2,Yamang Likas,resources"
"57,Grade 2,Q4,Naiuugnay ang pangangailangan at kagustuhan sa pamumuhay,AP2EKP-IVc-3,Ekonomiya,needs; wants"
"58,Grade 2,Q4,Nailalarawan ang simpleng pagbuo ng pasya sa pagbili ng produkto,AP2EKP-IVd-4,Ekonomiya,decision-making; consumer"
"59,Grade 2,Q4,Naiuugnay ang pagtitipid sa wastong paggamit ng yaman,AP2EKP-IVe-5,Ekonomiya,saving"
"60,Grade 2,Q4,Napatutunayan na ang pagtutulungan ay nakatutulong sa pag-unlad ng kabuhayan,AP2EKP-IVf-6,Pagtutulungan,economic cooperation"

"61,Grade 3,Q1,Naiuugnay ang ugnayan ng pamilya at komunidad sa pag-unlad ng tao,AP3PAM-Ia-1,Pamayanan,family; community"
"62,Grade 3,Q1,Natutukoy ang mga salik na nakaaapekto sa pagkakakilanlan ng komunidad,AP3PAM-Ia-2,Pamayanan,identity factors"
"63,Grade 3,Q1,Nailalarawan ang iba’t ibang uri ng komunidad sa Pilipinas,AP3PAM-Ib-3,Pamayanan,rural; urban; indigenous"
"64,Grade 3,Q1,Naipaliliwanag ang kahalagahan ng sama-samang pagkilos sa komunidad,AP3PAM-Ib-4,Pagtutulungan,collective action"
"65,Grade 3,Q1,Natutukoy ang mga gawaing nakakatulong sa pag-unlad ng komunidad,AP3PAM-Ic-5,Pamayanan,community programs"
"66,Grade 3,Q1,Naiuugnay ang mga tungkulin sa komunidad sa pang-araw-araw na buhay,AP3PAM-Id-6,Tungkulin,responsibilities"
"67,Grade 3,Q1,Napahahalagahan ang pagtupad ng tungkulin bilang kasapi ng komunidad,AP3PAM-Ie-7,Pagtutulungan,civic duty"

"68,Grade 3,Q2,Nauuri ang mga lugar batay sa katangiang pisikal,AP3KAP-IIa-1,Heograpiya,physical features"
"69,Grade 3,Q2,Nailalarawan ang iba't ibang anyong lupa sa sariling komunidad,AP3KAP-IIb-2,Heograpiya,landforms"
"70,Grade 3,Q2,Nailalarawan ang iba't ibang anyong tubig sa komunidad,AP3KAP-IIc-3,Heograpiya,waterforms"
"71,Grade 3,Q2,Naiuugnay ang lokasyon ng komunidad sa uri ng kabuhayan,AP3KAP-IId-4,Ekonomiya,livelihood"
"72,Grade 3,Q2,Naiuugnay ang kapaligiran sa uri ng tahanan at pamumuhay,AP3KAP-IIe-5,Kapaligiran,housing; environment"
"73,Grade 3,Q2,Naiisa-isa ang epekto ng katangiang pisikal sa pamumuhay ng tao,AP3KAP-IIf-6,Heograpiya,physical environment"

"74,Grade 3,Q3,Nakabubuo ng payak na mapa ng komunidad,AP3KAP-IIIa-1,Heograpiya,map making"
"75,Grade 3,Q3,Natutukoy ang mga lugar sa mapa gamit ang pananda,AP3KAP-IIIb-2,Heograpiya,map symbols"
"76,Grade 3,Q3,Nailalarawan ang direksyon ng isang lugar mula sa isa pa,AP3KAP-IIIc-3,Heograpiya,direction"
"77,Grade 3,Q3,Naiuugnay ang distansya ng lugar sa mga gawain ng komunidad,AP3KAP-IIId-4,Heograpiya,distance"
"78,Grade 3,Q3,Naiuugnay ang istruktura ng komunidad sa pang-araw-araw na buhay,AP3KAP-IIIe-5,Pamayanan,infrastructure"

"79,Grade 3,Q4,Nailalarawan ang mga salik ng produksyon sa komunidad,AP3EKP-IVa-1,Ekonomiya,production factors"
"80,Grade 3,Q4,Natukoy ang mga pangunahing kabuhayan sa komunidad,AP3EKP-IVb-2,Ekonomiya,livelihood"
"81,Grade 3,Q4,Naiuugnay ang pangangailangan ng tao sa mga produktong likha ng komunidad,AP3EKP-IVc-3,Ekonomiya,goods; needs"
"82,Grade 3,Q4,Naiuugnay ang pagtitipid sa wastong paggamit ng likas na yaman,AP3EKP-IVd-4,Ekonomiya,saving; resources"
"83,Grade 3,Q4,Napatutunayan ang kahalagahan ng pagtutulungan sa pag-unlad ng kabuhayan,AP3EKP-IVe-5,Pagtutulungan,economic cooperation"

"84,Grade 4,Q1,Naiuugnay ang lokasyon ng Pilipinas sa heograpiya ng Asya,AP4HEK-Ia-1,Heograpiya,Asia; location"
"85,Grade 4,Q1,Nailalarawan ang katangiang pisikal ng Pilipinas,AP4HEK-Ia-2,Heograpiya,physical features"
"86,Grade 4,Q1,Naiuugnay ang katangiang pisikal sa klima at panahon,AP4HEK-Ib-3,Heograpiya,climate"
"87,Grade 4,Q1,Natatalakay ang epekto ng klima sa gawain at kultura ng mga Pilipino,AP4HEK-Ic-4,Kultura,climate; culture"
"88,Grade 4,Q1,Nalalarawan ang iba’t ibang rehiyon sa Pilipinas,AP4HEK-Id-5,Heograpiya,regions"

"89,Grade 4,Q2,Nailalarawan ang yamang lupa at yamang tubig ng bansa,AP4YAM-IIa-1,Yamang Likas,land; water resources"
"90,Grade 4,Q2,Naiuugnay ang yamang likas sa kabuhayan ng tao,AP4YAM-IIb-2,Yamang Likas,livelihood"
"91,Grade 4,Q2,Nailalarawan ang pangangalaga sa likas na yaman,AP4YAM-IIc-3,Kapaligiran,environmental care"
"92,Grade 4,Q2,Naiuugnay ang wastong paggamit ng yamang likas sa pag-unlad ng pamayanan,AP4YAM-IId-4,Yamang Likas,sustainable use"

"93,Grade 4,Q3,Natataya ang kontribusyon ng sektor ng agrikultura sa ekonomiya,AP4EKP-IIIa-1,Ekonomiya,agriculture"
"94,Grade 4,Q3,Nailalarawan ang sektor ng industriya at ang impluwensya nito sa pag-unlad,AP4EKP-IIIb-2,Ekonomiya,industry"
"95,Grade 4,Q3,Natatalakay ang sektor ng serbisyo at mga gawaing maaaring pasukin,AP4EKP-IIIc-3,Ekonomiya,services"
"96,Grade 4,Q3,Naiuugnay ang tatlong sektor sa pang-araw-araw na pangangailangan ng tao,AP4EKP-IIId-4,Ekonomiya,sectors"

"97,Grade 4,Q4,Natataya ang mabuting pamamahala sa komunidad,AP4PAM-IVa-1,Pamahalaan,governance"
"98,Grade 4,Q4,Nailalarawan ang tungkulin ng lokal na pamahalaan,AP4PAM-IVb-2,Pamahalaan,local government"
"99,Grade 4,Q4,Natatalakay ang mga programang nakakatulong sa mamamayan,AP4PAM-IVc-3,Pamahalaan,programs"
"100,Grade 4,Q4,Napatutunayan ang kahalagahan ng pakikilahok sa gawaing pamayanan,AP4PAM-IVd-4,Pagtutulungan,civic participation"

"101,Grade 5,Q1,Natatalakay ang pinagmulan ng sinaunang tao sa Asya,AP5KSA-Ia-1,Kasaysayan,early humans"
"102,Grade 5,Q1,Nailalarawan ang mga sinaunang kabihasnan sa Asya,AP5KSA-Ib-2,Kasaysayan,civilizations"
"103,Grade 5,Q1,Naiuugnay ang heograpiya sa pag-unlad ng kabihasnan,AP5KSA-Ic-3,Heograpiya,geography; civilizations"
"104,Grade 5,Q1,Natatalakay ang impluwensya ng kabihasnan sa kasalukuyang pamumuhay,AP5KSA-Id-4,Kasaysayan,influence"

"105,Grade 5,Q2,Naiuugnay ang lokasyon ng Asya sa yamang likas nito,AP5YAM-IIa-1,Yamang Likas,Asia resources"
"106,Grade 5,Q2,Nailalarawan ang yamang tao ng bansa at kontinente,AP5YAM-IIb-2,Yamang Tao,human resources"
"107,Grade 5,Q2,Naiuugnay ang yamang likas at yamang tao sa ekonomiya,AP5YAM-IIc-3,Ekonomiya,resources; economy"
"108,Grade 5,Q2,Nailalarawan ang epekto ng kapaligiran sa kabuhayan sa Asya,AP5YAM-IId-4,Kapaligiran,Asia livelihood"

"109,Grade 5,Q3,Natatalakay ang pag-unlad ng kabuhayan sa Asya,AP5EKP-IIIa-1,Ekonomiya,Asian economy"
"110,Grade 5,Q3,Nailalarawan ang mahalagang industriya at produkto ng Asya,AP5EKP-IIIb-2,Ekonomiya,industry; products"
"111,Grade 5,Q3,Naiuugnay ang yamang likas sa industriya ng Asya,AP5EKP-IIIc-3,Ekonomiya,resources"
"112,Grade 5,Q3,Naiisa-isa ang mga bansang pangunahing tagagawa ng produkto sa Asya,AP5EKP-IIId-4,Ekonomiya,manufacturers"

"113,Grade 5,Q4,Nailalarawan ang mga salik ng produksiyon,AP5EKP-IVa-1,Ekonomiya,production factors"
"114,Grade 5,Q4,Naiuugnay ang mga salik ng produksiyon sa pagbuo ng produkto,AP5EKP-IVb-2,Ekonomiya,production"
"115,Grade 5,Q4,Natatalakay ang pagdedesisyon ng konsyumer sa pagbili,AP5EKP-IVc-3,Ekonomiya,consumer decisions"
"116,Grade 5,Q4,Naiuugnay ang pamumuhay ng tao sa ekonomiyang pandaigdig,AP5EKP-IVd-4,Ekonomiya,global economy"

"117,Grade 6,Q1,Nailalarawan ang kabihasnang umusbong sa Pilipinas bago dumating ang Espanyol,AP6KSA-Ia-1,Kasaysayan,pre-colonial Philippines"
"118,Grade 6,Q1,Natatalakay ang pagdating ng mga Espanyol at ang epekto nito sa kultura,AP6KSA-Ib-2,Kasaysayan,Spanish colonization"
"119,Grade 6,Q1,Naiisa-isa ang mahahalagang pangyayari sa pananakop ng Espanya,AP6KSA-Ic-3,Kasaysayan,colonial events"
"120,Grade 6,Q1,Napatutunayan ang pagbabago sa pamumuhay ng Pilipino sa panahon ng Espanyol,AP6KSA-Id-4,Kasaysayan,cultural change"

"121,Grade 6,Q2,Nailalarawan ang pananakop ng Amerikano at impluwensya nito,AP6KSA-IIa-1,Kasaysayan,American period"
"122,Grade 6,Q2,Nasabibigyang-kahulugan ang patakarang ipinatupad ng Amerikano,AP6KSA-IIb-2,Kasaysayan,policies"
"123,Grade 6,Q2,Naiuugnay ang pamumuhay noon at ngayon batay sa patakarang kolonyal,AP6KSA-IIc-3,Kasaysayan,colonial comparison"
"124,Grade 6,Q2,Napahahalagahan ang kontribusyon ng Amerikano sa edukasyon at kalusugan,AP6KSA-IId-4,Kasaysayan,education; health"

"125,Grade 6,Q3,Nailalarawan ang pananakop ng Hapon,AP6KSA-IIIa-1,Kasaysayan,Japanese occupation"
"126,Grade 6,Q3,Naiuugnay ang epekto ng Ikalawang Digmaang Pandaigdig sa Pilipinas,AP6KSA-IIIb-2,Kasaysayan,WWII"
"127,Grade 6,Q3,Natatalakay ang pagbangon ng bansa matapos ang digmaan,AP6KSA-IIIc-3,Kasaysayan,recovery"
"128,Grade 6,Q3,Nailalarawan ang pagtatag ng republika at pamahalaan nito,AP6KSA-IIId-4,Pamahalaan,republic"

"129,Grade 6,Q4,Naiuugnay ang ekonomiya ng Pilipinas sa ekonomiya ng Asya,AP6EKP-IVa-1,Ekonomiya,Asia economy"
"130,Grade 6,Q4,Nailalarawan ang mahalagang papel ng Pilipinas sa rehiyon,AP6EKP-IVb-2,Ekonomiya,regional roles"
"131,Grade 6,Q4,Naiuugnay ang yamang likas ng bansa sa kabuhayan ng mga Asyano,AP6EKP-IVc-3,Yamang Likas,resources"
"132,Grade 6,Q4,Nalilinang ang pagkamalikhain sa pagbuo ng produktong Pilipino,AP6EKP-IVd-4,Ekonomiya,creativity; products"
